cid	text	author	votes	heart	paid	category	Entext	flair_sent_fast	flair_sent_en	pysent_sent	pysent_emot	pysent_hate	offense
UgyXzc1Mtf0juUcqWAZ4AaABAg	ബാസ്സ് ഗിറ്റാറുമായി ബൈജുസിനെ കണ്ടപ്പോൾ ഒത്തിരി സന്തോഷം ഇനിയും കൂടുതൽ ഉയരങ്ങളിൽ എത്താൻ ദൈവത്തോട് പ്രാർത്ഥിക്കുന്നു 	Bethel Melodies	1	False	None	Music	When I saw Baijus with the bass guitar, I prayed to God to reach even higher heights with a lot of happiness	('POSITIVE', 0.9578754901885986)	('POSITIVE', 0.9963009357452393)	POS: 	joy: 	:	1
UgwVqy4EjfWI6SnS5nF4AaABAg	നീയെന്നെ തേടി വന്നുനല്ല പാട്ടാണ്നല്ല അർത്ഥമുള്ളവരികൾനന്നായി പാടുന്നുണ്ട്ദൈവം അനുഗ്രഹിക്കട്ടെ	Jancy Santhosh	1	False	None	Music	You came looking for me, it's not a song, it's a song that has meaning, God bless you	('POSITIVE', 0.9443655014038086)	('POSITIVE', 0.9779406785964966)	POS: 	joy: 	:	1
UgzCpDZNr2AwTQgwxwV4AaABAg	യേശുവേ നിൻ ഹിതം പോലെന്നെ നടത്തണേഏഴു വിളക്കിൻ നടുവിൽനല്ല പാട്ടാണ്എല്ലാവരും നന്നായിപാടുന്നുണ്ട്ദൈവം അനുഗ്രഹിക്കട്ടെ	Jancy Santhosh	0	False	None	Music	Jesus, do according to your will, not in the middle of the seven lamps, everyone is singing well, God bless	('POSITIVE', 0.9682359099388123)	('POSITIVE', 0.9960301518440247)	POS:  	others: 	:	1
UgyGHkiQrbKPWc7G_vd4AaABAg	ദൈവം മക്കളെ അനുഗ്രഹിക്കട്ടെ ധാരാളം നന്മകൾ ദൈവം നൽകട്ടെ	AMBILI D	2	False	None	Music	May God bless the children and may God give many good things	('POSITIVE', 0.988329291343689)	('POSITIVE', 0.9953302145004272)	POS: 	joy: 	:	1
UgxYu3ODH_4-CJpyRk54AaABAg	ആമേൻ ദൈവം അനുഗ്രഹിക്കട്ടെ മക്കളെ 	bincy anil	0	False	None	Music	Amen God bless you children	('POSITIVE', 0.8059088587760925)	('POSITIVE', 0.9879772067070007)	POS: 	joy: 	:	1
UgykJU9KP-wAyJSQMw94AaABAg	ദൈവം അനുഗ്രഹിക്കട്ടെ പിന്നെയും പാടുവാൻ ദൈവം ബലപ്പെടുത്തട്ടേ 	saly kochukutty	4	False	None	Music	May God bless you and may God give you strength to sing again	('POSITIVE', 0.9972240924835205)	('POSITIVE', 0.9989400506019592)	POS: 	joy: 	:	1
Ugwavs-6ABZKXWpOuJt4AaABAg	പൊന്നു മുത്തേ ദൈവം കുഞ്ഞുങ്ങളെ അനുഗ്രഹിക്കട്ടെ	Daisy Sajan	2	False	None	Music	May the Golden Pearl God bless the children	('POSITIVE', 0.8709644675254822)	('POSITIVE', 0.9968839287757874)	POS: 	joy: 	:	1
UgzAI0hG20SBaJfmDHl4AaABAg	അതിമനോഹരമായ വരികളും സംഗീതവും അഭിജിത്തിന്റെ സ്വര മാധുര്യവും ദൈവം അനുഗ്രഹിക്കട്ടെ ഇതിന്റെ പിന്നില് പ്രവര്ത്തിച്ച എല്ലാവരെയും	Raphael Nightingale Media	2	False	None	Music	Beautiful lyrics and music and the sweetness of Abhijith's voice God bless all those who worked behind this.	('POSITIVE', 0.9939269423484802)	('POSITIVE', 0.9987974166870117)	POS: 	joy: 	:	1
UgwJlNIMSGRCrqso_rN4AaABAg	എൻ യേശു മാത്രം മതിയെനിക്ക് ഏതുനേരത്തുംനല്ലപാട്ടാണ്എല്ലാവരും നന്നായി പാടുന്നുണ്ട്ദൈവം അനുഗ്രഹിക്കട്ടെ	Jancy Santhosh	1	False	None	Music	My Jesus alone is enough for me at any time everyone sings well God bless	('POSITIVE', 0.9969294667243958)	('POSITIVE', 0.9914427399635315)	POS: 	joy: 	:	1
UgxrZHiT_ZtG998xyfB4AaABAg	യേശുവിൻറെ നാമത്താൽസൗഖ്യം ഉണ്ടല്ലോയേശുവിൻറെ രക്തത്താൽ ജയം ഉണ്ടല്ലോവിശ്വസിച്ചാൽ ദൈവത്തിൻറെ മഹത്വംകാണുംനല്ലപാട്ടാണ്ദൈവം അനുഗ്രഹിക്കട്ടെ	Jancy Santhosh	0	False	None	Music	If you believe that there is healing in the name of Jesus and there is victory in the blood of Jesus, God will bless you with the glory of God.	('POSITIVE', 0.9956318140029907)	('POSITIVE', 0.9988123178482056)	POS: 	joy: 	:	1
UgyUsqiTtit-qzNVkF54AaABAg	ആശ്രയിപ്പാൻഎനിക്കെന്നുംസർവ്വശക്തൻകൂടെയുണ്ട്നല്ല പാട്ടാണ് വളരെ ഇഷ്ടമായി നല്ല അർത്ഥമുള്ള വരികൾമനസ്സിന് വളരെ ആശ്വാസംകിട്ടുന്നുണ്ട് ദൈവംഅനുഗ്രഹിക്കട്ടെ	Jancy Santhosh	0	False	None	Music	I have nothing to rely on and with the almighty the song is very nice the lyrics have a good meaning the mind is very comforted god bless	('POSITIVE', 0.9949799180030823)	('POSITIVE', 0.9934267997741699)	POS: 	joy: 	:	1
UgzIKzk1qQCMyzo16jp4AaABAg	അവനെ എന്നെ നടത്തുംതളരാതെ ഈ മരുഭൂമിയിൽനല്ല പാട്ടാണ്നന്നായി പാടുന്നുണ്ട്ദൈവം അനുഗ്രഹിക്കട്ടെ	Jancy Santhosh	1	False	None	Music	May God bless him	('POSITIVE', 0.8270519971847534)	('POSITIVE', 0.9943899512290955)	POS: 	joy: 	:	1
UgyeCsvJ1-L5z1fb7j54AaABAg	യേശുവേ നന്ദി നല്ല പാട്ടാണ് അർത്ഥമുള്ള വരികൾ നന്നായി പാടുന്നുണ്ട് ദൈവം അനുഗ്രഹിക്കട്ടെ	Jancy Santhosh	1	False	None	Music	Thank you Jesus good song meaningful lyrics well sung God bless you	('POSITIVE', 0.9493921399116516)	('POSITIVE', 0.9841598868370056)	POS: 	joy: 	:	1
UgzhScJOy58265u6ESp4AaABAg	ദൈവ കൃപയുടെ   ആത്മ നിറവിൽ എഴുതിയ നല്ല വരികൾ  കെസ്റ്ററിന്റെ ആത്മീക  വോയിസ് ഗുഡ് വർക്ക് ഗോഡ് ബ്ലെസ് യൂ ഓൾ ടീം   	Davd Joseph	1	False	None	Music	Good lyrics written in the spirit of God's grace Kester's spiritual voice Good work God bless you all team	('POSITIVE', 0.9926307201385498)	('POSITIVE', 0.9934074878692627)	POS: 	joy: 	:	1
Ugx686aWpTP5zy8tiBN4AaABAg	ദൈവം ധാരാളമായി അനുഗ്രഹിക്കട്ടെ ഉയരങ്ങളിൽ ദൈവം എത്തിക്കുമാറാകട്ടെ	Moorthy C	1	False	None	Music	May God bless you abundantly and may God take you to the heights	('POSITIVE', 0.9979475140571594)	('POSITIVE', 0.9974818825721741)	POS: 	joy: 	:	1
UgyjxOfS60FOOGR_3GR4AaABAg	കുഞ്ഞുങ്ങളെ നിങ്ങൾ വളരെ മനോഹരമായി പാടി ദൈവം ഇനിയും ഉയരങ്ങളിൽ നിങ്ങളെ എത്തിക്കട്ടെആമേൻ	Moncy VS	128	False	None	Music	You sing very beautifully children and may God take you to greater heights	('POSITIVE', 0.9989402890205383)	('POSITIVE', 0.9984357953071594)	POS: 	joy: 	:	1
UgxjyBk6HA06uGILs1p4AaABAg	ആത്മാവിൽ നിറയുന്ന അത്ഭുതശക്തി വരികളിൽ നിറയുന്ന പ്രത്യാശയുടെ പ്രതിഫലനം വർഷങ്ങളായി ആത്മീയ ലോകം പാടി ആരാധിക്കുന്ന ഈ മനോഹര ഗാനത്തിന്റെ രചനയും സംഗീതവും നിർവ്വഹിച്ച പ്രിയ സണ്ണിച്ചായൻ ശ്രുതിമധുരമായ ആലാപനം കൊണ്ട് ഹൃദയത്തിൽ ദൈവ സാന്നിധ്യം നിറച്ച ശ്രീ രമേഷ് മറ്റെല്ലാ ക്രൂ അംഗങ്ങളേയും ദൈവം അനുഗ്രഹിക്കട്ടെ	Paul Somaraj	4	False	None	Music	Miraculous power that fills the soul Reflection of hope that fills the lyrics This beautiful song that has been sung and worshiped by the spiritual world for years is composed and composed by Priya Sunnychayan May God bless all the other Sri Ramesh crew members who filled their hearts with the presence of God with their melodious singing.	('POSITIVE', 0.9993599057197571)	('POSITIVE', 0.9994307160377502)	POS: 	joy: 	:	1
Ugy3ALzqDpWVmW43VdV4AaABAg	ഗോഡ് ബ്ലെസ് യൂഅറോണ  മോൾ	George KJ	3	False	None	Music	God bless Euarona Mol	('POSITIVE', 0.8863427042961121)	('POSITIVE', 0.9883763194084167)	POS: 	joy: 	:	1
UgyjefPXnabVnsImGHR4AaABAg	ദൈവമേ നിന്നെ ഞങ്ങൾസ്തുതിക്കുന്നുസ്തോത്രംരാവിലെ ഞങ്ങളുടെപ്രാർത്ഥനാഅവിടുന്ന്ആമേൻ	Aleyamma Mathew Modayil	3	False	None	Music	O God, we praise you, our morning prayer, Amen	('POSITIVE', 0.9927889704704285)	('POSITIVE', 0.9906980395317078)	POS: 	joy:  	:	1
Ugy5zKP8gbIS44_y7jx4AaABAg	സ്തുതി പിതാവായ യഹോവയാം ദൈവത്തിന്	live & let live	38	False	None	Music	Praise be to Jehovah God the Father	('POSITIVE', 0.9647595882415771)	('POSITIVE', 0.9711644649505615)	POS: 	joy: 	:	1
UgwXIt_K4BtweSf25gp4AaABAg	നല്ല പാട്ട്  മോൾ നന്നായി പാടി ദൈവം മോളെ ഇനിയും ഉപയോഗിക്കും 	Davd Joseph	5	False	None	Music	Sing a good song well and God will use you again	('POSITIVE', 0.9888852834701538)	('POSITIVE', 0.995782732963562)	POS: 	joy: 	:	1
UgzUrJRNMQFCMza0J8N4AaABAg	ദൈവകൃപയാൽ മാത്രം ചെയ്ത ഈ വർക്കിന് നിങ്ങൾ ഞങ്ങൾക്ക് തന്ന എല്ലാ വാക്കുകൾക്കും നന്ദിയും പ്രാർത്ഥനയും  എല്ലാവരെയും ദൈവം അനുഗ്രഹിക്കട്ടെ	Karunya Matha Creations	2	False	None	Music	Thank you for all the words and prayers you have given us for this work done only by God's grace and may God bless you all	('POSITIVE', 0.990066409111023)	('POSITIVE', 0.9616245627403259)	POS: 	joy: 	:	1
