cid,text,author,votes,heart,paid
Ugw5fO2bFTi-DR48OT14AaABAg,"ഏറ്റവും കൂടുതൽ ഇന്റർവ്യൂ ഞാൻ കണ്ടിട്ടുണ്ടങ്കിൽ അത് ധ്യാൻ ചേട്ടന്റെ മാത്രമായിരിക്കും ചിരിച്ച് ചിരിച്ച് ഒരു വഴിക്കായി ",Irfan Ippu,204,False,None
UgwN4d1f5_b36PA59Yd4AaABAg,"ഇങ്ങേരുടെ interviews മാത്രം എല്ലാം കൂടി ഒരു സിനിമ പോലെ ആക്കി തീയേറ്ററിൽ ഇട്ടാൽ അത് housefull ആയിരിക്കും..എജ്ജാതി മനുഷ്യൻ.. Dhyaan and family..",Solo Sanchari,75,False,None
UgzHyFVsgfZaLyY-8qJ4AaABAg,"എനിക്ക് ഏറ്റവും ഇഷ്ടമുള്ള റോൾ നമ്മുടെ ഒരേ മുഖം മൂവി ആ look ",Sj10,70,False,None
UgzvlfQGflC2FSm5jR14AaABAg,"എല്ലാവരോടും സന്തോഷമായി സംസാരിക്കാനും  ഒരു കഴിവ് വേണം .....അത് ഇങ്ങേർക്ക് നന്നായി ഉണ്ട്.....ധ്യാൻ ഇഷ്ടം....",Nitheesh Narayanan,93,False,None
UgzapCW2aPqRLDAs4ph4AaABAg,"അടുത്ത ട്രെൻഡിങ് 1 ലെത്താൻ ഉള്ള കളിയാണ്.. ",Fine Aqua,4,False,None
Ugz2kW0vvwR88__VJCB4AaABAg,"Interview കാണിച്ചു ആളുകളെ സിനിമക്ക് കയറ്റുന്ന... മച്ചാൻ ",Sreekumar U,81,False,None
UgzAdwfGP-p4cZJNvTZ4AaABAg,"ആഴചയിൽ ഒര് ഇന്റർവ്യു അത് നിർബന്ധം ആാാ  ധ്യാൻ ചേട്ടൻ ഇഷ്ട്ടം ",Anandha Vishnu,2,False,None
UgxF8zQF2LbCNMVceC54AaABAg,"അടിപൊളി എന്റെ മോൻ ഇത് ഇഷ്ടപ്പെട്ടു ",Sj10,17,False,None
Ugz1Fgm5_Oiwa29Ne6F4AaABAg,"ധ്യാൻ ചേട്ടൻ മനുഷ്യൻ ",Ragesh Kumar A,1,False,None
Ugzu6WM9prb7TR1LjSd4AaABAg,"പടം ഹിറ്റ്‌ അന്നോ ഫ്ലോപ്പ് അന്നോ എന്നൊന്നും അറിയില്ല പക്ഷെ ഇന്റർവ്യൂ ഹിറ്റ്‌ ആയിരിക്കും ",⚔️Indian Army⚔️,2,False,None
UgwIzPHtYxmy-Z6f-s54AaABAg,"എന്തോന്ന് interview ആണ് ഇത്..ഒന്നും വ്യക്തമായി കേൾക്കുന്നില്ല.Thumbnail കണ്ട് ഓടി വന്നതാ.നിരാശ.",Kannan''s World,97,False,None
UgwIzPHtYxmy-Z6f-s54AaABAg.9cNzC7Ghys_9cO87-U1Awn,"നല്ല ഹെഡ്സെറ്റ് വെച്ചാൽ മതി.",Titto Jacob,1,False,None
Ugw1sltHIgyU_NpwLZB4AaABAg,"എല്ലാരും എല്ലാം വ്യക്തമായി കേട്ടു എന്ന് വിചാരിക്കുന് ",Anoop K Prasad,73,False,None
UgyKUpg6QmpsqHBTe6h4AaABAg,"ധ്യാൻ ഇന്റർവ്യൂ ഫാൻ ",on road,6,False,None
