cid,text,author,votes,heart,paid
UgwyVMHL1BlYv6dp4-Z4AaABAg,"ഷിബു അണ്ണൻ പ്ലിങ്ങി ",Parvathy Prasad,10,False,None
UgxNpCrr_a2G_S1NhTx4AaABAg,"നിങ്ങൾ വെഞ്ഞാറമൂട് ഉള്ളതാണോ",Ananthu Tmn,1,False,None
UgzLFrYJwazxz7g13DV4AaABAg,"അടിപൊളി ഇജ്ജാതി എഡിറ്റിംഗ് ",Parvathy Prasad,19,False,None
UgzBJOr4TXShkx7rvbh4AaABAg,"ലാലേട്ടൻകൊച്ചിനെ എടുത്തു നിക്കുന്ന കോലം പൊളിച്ചു",fiya fidu,4,False,None
Ugzq3rVHYz3CInoFOxd4AaABAg,"നിഖിൽ ഏട്ടന്  പുതിയ ജോബ് കിട്ടിയോ  instayil  സ്റ്റോറി  കണ്ടല്ലോ. നിഖിൽ ഏട്ടൻ ഇനി വീഡിയോസ്  ചെയ്യൂലെ.",Shamil KS,4,False,None
UgyCU9ol2alrlHVUcvx4AaABAg,"നല്ല  കരച്ചിൽ ",Sumi Sonu,21,False,None
UgwAkwjR76mZFI57EtF4AaABAg,"അമ്മയെന്ന പോരാളി ",Akshaya Aji,13,False,None
Ugyrwb7VONtBXP5zKpt4AaABAg,"ശ്ശെടാ.. ഞാൻ വല്യ സെന്റി അടിച്ചു കമന്റ്‌ ഇടാൻ വരുമായിരുന്നു .. പക്ഷെ എന്നാലും content aആദ്യം കാണിച്ചത് സത്യമായ കാര്യങ്ങൾ ആണ്.. അമ്മയുമായി വഴക്ക് ഉണ്ടാക്കുമ്പോൾ മനസ് പിന്നെ ശാന്തം ആവുന്നത് കഷ്ടപ്പെടുന്ന കാര്യം ഓർക്കുമ്പോൾ ആണ്..പക്ഷെ ആ ട്വിസ്റ്റ്‌ ഞാൻ ഒട്ടും പ്രതീക്ഷിച്ചില്ല ..",Parvathy Prasad,25,False,None
UgxJwBlERre434zkIgJ4AaABAg,"അമ്മേം മോളും കൊള്ളാം ",Fathima Pathu,0,False,None
Ugz4KAwOnLKQ9T3e60J4AaABAg,"ഡൺ ",Dhamooozz,1,False,None
