cid,text,author,votes,heart,paid
UgzKF2GiNJp3-0rmZfZ4AaABAg,"Nys ഇൻഫോ",Bow Bow,1,True,None
Ugwj45n89CB42FcoiJ14AaABAg,"എല്ലാവർക്കും ഇഷ്ടപ്പെടുന്ന മൃഗങ്ങൾ. നല്ലൊരു അടിപൊളി വീഡിയോ ചേട്ടാ പൊളിച്ചൂട്ടാ...",Hakkim Pets World,16,True,None
UgwaDINLTxpU-ZWx50V4AaABAg,"എല്ലാവരുടെയും കളറുകൾ അടിപൊളി.",Hakkim Pets World,28,True,None
UgwE_ebgleRhqfFQOFl4AaABAg,"ജോമോൻ ചേട്ടാ 57minute പോയതറിഞ്ഞില്ല",Dreams Media,3,True,None
Ugw4jG66ulquh5FYgKh4AaABAg,"തേൻ കന്നി കിടു  വീഡിയോ പൊളിച്ചു ",SEBIN JAISON,4,True,None
UgxxbGEP9x-hGiyqknJ4AaABAg.9bquPn2Kmfi9bqzWDGic4z,"വരും വരും",ഒരു അഡാർ Pets Story,1,False,None
Ugz_5TnA02cD-EQ-uBd4AaABAg,"എല്ലാത്തിനെയും കുഞ്ഞുങ്ങളുടെ വിലയും കൂടി പറയണം",Shyju Shy,1,True,None
UgzrMWE4rwq2KVzSrlJ4AaABAg,"സൂപ്പർ ",Pets and Hobbies,1,True,None
UgxzZeuCG_x5693oJY54AaABAg,"കിടു",Pets corner,1,True,None
UgyjlqE2o7Ii5PJAxVd4AaABAg,"ഫോൺ നമ്പർ കിട്ടോ അവിടത്തെ?",ഷെരീഫ് പുത്തൻചിറ,1,True,None
Ugzp5wnxSGFMxhRORNZ4AaABAg.9boZhPAj66i9booq9AsYWy,"സൂപ്പർ",Siji Sijibahuleyan,2,True,None
UgwiBq83bkLl91Cquy14AaABAg,"ആഹാഹാ.... കന്നി ഡോബ്ബർമാൻ mix",Gokul krishna,1,True,None
UgzpvLFrOFbP3VtJKRZ4AaABAg,"സൂപ്പർ.",Balraj Kk,1,True,None
UgxfqG64Evag5xgtxgR4AaABAg,"സ്ഥലം",MALAPPURAM PETS,1,True,None
UgzRwN9IFy55J5BiicR4AaABAg,"ആർകെങ്കിലും നോക്കാൻ പറ്റാതെ cat ഉണ്ടാക്കിൽ ഒരു cat എനിക്ക് തരണേ ബ്രോ ഇവിടെ ഉണ്ടായിരുന്ന cat എവിടെയോ പോയിട്ട് തിരിച്ചു വന്നില്ല",E A,1,True,None
UgxHmFWpPw3FGbP-53F4AaABAg,"കിട കൊമ്പ് പറക്കാൻ ആയിണ്ട്",Najeeb Naju,1,True,None
UgzijDkzQmKHD_VdwYh4AaABAg,"Stad male വല്ലതും ഉണ്ടോ കൊടുക്കാൻ cat",Dream Farm,2,True,None
UgzijDkzQmKHD_VdwYh4AaABAg.9boZhMLRc639bocSbwuknH,"കളർ എന്താണ്",Dream Farm,1,True,None
UgzijDkzQmKHD_VdwYh4AaABAg.9boZhMLRc639boe3bwSloQ,"വൈറ്റ് കളർ ആണോ",Dream Farm,1,True,None
UgxJ030PjPwO4_HlXGt4AaABAg,"ഈ ഷോപ്പിന്റെ ഫുൾ വീഡിയോ ലിങ്ക്- ",ഒരു അഡാർ Pets Story,2,False,None
UgxLl05usUf_sZKPAnd4AaABAg,"ഇത് മുതല അല്ല ചേട്ടാ ഇത് aligetar മനസ്സിലായോ ",കുഞ്ഞു മോൾ,4,True,None
UgzqUngYZ5FiYJXl-Ah4AaABAg,"മുതല ",Ottamooli Karshakan,1,True,None
UgyFW0TWJF_9Be_5mLd4AaABAg,"ചേട്ടാ ഞാൻ ചേട്ടന്റെ subscriber ആണ് ചേട്ടന്റെ വക എനിക്ക് ഒരു ചെറിയ്യ ആരാപമായോ ഇല്ലക്കിൽ alligatorcar tharo",Bilal Junu,1,False,None
UgxSc3WDmQi4zT3eSHl4AaABAg,"സത്യം പറയാലോ വളരെ വില കുറവാണു ഇവിടെ ",Jitto Mathew,7,True,None
UgyW8e54v7y1z2aIlQB4AaABAg,"കാത്തിരിക്കുകയായിരുന്നു വീഡിയോ ഇടുന്നത് നോക്കി   പൊളിച്ചു മച്ചാനെ ",NITHIN CHACKO,13,True,None
