cid,text,author,votes,heart,paid
UgzITTv1U1hY-EoDCHl4AaABAg,"ഇത് എങ്ങനെയാ തലയില്‍ പിടിച്ചു നിര്‍ത്തുന്നത് അതിന്റെ ട്യൂട്ടോറിയല്‍ വീഡിയോ cheyamo",Ivine George,23,False,None
Ugz65vzgJ0jlqtAhvsR4AaABAg,"ഇത്രേം ഈസി ഒക്കെ ചെയ്യുന്നത് എനിക്ക് ഇഷ്ടം അല്ല ",Sergio Ramos,5,False,None
Ugyes5wGE4ZQE0M_JmV4AaABAg,"പറഞ്ഞപ്പോ എത്ര പെട്ടെന്ന് kaijelle",KL ALIYANZ,0,False,None
UgxJE78C4FbgCkQ7jjF4AaABAg,"ന്താണെടോ... നമ്മക് ഉപകാരപ്പെടുന്ന vedio ചെയൂ.... ഇത് ഒന്നും manaslaayilalo",commercianz,0,False,None
UgyHewOzgskR3a3eW7J4AaABAg,"ആന്റ് ഒരു റയൽമാഡ്രിഡ് ",ASLAH productions,0,False,None
UgyfFx9Gi1nj3zqjlSt4AaABAg,"ആ കാർഡിൽ പൈസ ഉണ്ടാണവോ ",Afsal Afsal,0,False,None
UgxG2_6mqaTZya1mfkJ4AaABAg,"Enthaa അഭിനയം  ഒരു അവാർഡ് തരട്ടെ",Midlaj Midhu,0,False,None
UgxeMxfhGRGHRhavXvl4AaABAg,"Card ഇൽ paisa ഉണ്ടെന്നു പറഞ്ഞില്ലോ ",VIshnu Tk,0,False,None
UgxhyzoK486MNqdZ8Id4AaABAg,"Card വെച്ചിട്ട് എന്തോന്നാ എന്ന പറഞ്ഞത്? 2 നായ്ക്കാട്ടമോ?",Indian,0,False,None
Ugw703WBGa0CPrik4dN4AaABAg,"ചെട്ടൻ ഫുട് ബോളിൽ അരുടെ ഫെ തണ്",Jayesh p Pilakal,0,False,None
Ugz6J-IMvTvxYseCbMh4AaABAg,"Bro long freestyle videos വേണം ബ്രോയുടെ വീഡിയോസ് കാണുമ്പോൾ ഒരു ഹരമാണ്",Nizil freestyle,2,False,None
Ugz924o427XOzb-Tn5Z4AaABAg,"ചെയ്തു നോക്കാം",Nizil freestyle,0,False,None
Ugx5R7HLe8xuYjgVoBp4AaABAg,"ചേട്ടന് ഏത് ഫുട്ബോൾ പ്ലെയർ ആണ് ഇഷ്ടം",Bazil  Faizy,0,False,None
UgxYAau8gwL_3-ZZX3N4AaABAg,"Insha allah... നമുക്ക് അടുത്ത സീസണിൽ cup നേടാൻ കഴിയട്ടെ... ",™MҒβ ΩҒҒICIΔL™,0,False,None
Ugy1LVsGhZWWolOEk5x4AaABAg,"ഇനിയും പ്രാക്ടീസ് ചെയ്യൂ ഉയർന്ന നിലയിൽ എത്തൂ ",HAFIZ NIHAL MOHAMMED,7,True,None
Ugzr2Rd8TSLgU-F8u4R4AaABAg,"അപാരം തന്നെ",SHADIN,0,False,None
UgwggXuVur0dzWm5SAV4AaABAg,"മ്മ്മം സമ്മതിക്കണം ഇതൊക്കെ എങ്ങനെ സംഭവിക്കും ",Rinshad Rinshu,0,False,None
UgxjO3Rd_jwkyBX75FJ4AaABAg,"വല്ലോം പറ്റിയ സിമ്പിൾ skills കാണിക്ക്",PIKACHU FF,1,False,None
UgyPdtHR5AWhqB5gpIl4AaABAg,"ഇത് അബാസിയ പാർക്കാണോ ?????",Zentrue!!,0,False,None
UgyUZq4jkqFGyXOqTn94AaABAg,"Neymar vs messi ആൾക്കാർ എടുത്തു ചോദിക്ക്",Albi Pa,0,False,None
UgwD7pJF5wLqFKOz3Vt4AaABAg,"ഇതൊക്കെ കണ്ടു ഇരിക്യാനെ പറ്റു",Seetha mohanan Seetha mohanan,1,False,None
UgwFzcJNqFH0ODnk-QR4AaABAg,"Malayalam ഇട്ടപ്പോ അതും കണ്ടു.... English ഇട്ടപ്പോ അതും കണ്ടു ",Naseef !!!,2,True,None
UgzBmywv_QwWFMBoklF4AaABAg,"അതന്നെ",Muhammed Musthafa,11,True,None
UgyApA6fGdmWiBvJrXp4AaABAg,"  കഴിവ് ",Diya P,0,False,None
Ugx7huS6qAvIrQqqpPh4AaABAg,"നല്ല കഴിവ് ",MAX HUB,0,False,None
UgxGhybF0IOzeLsWbfp4AaABAg,"9th le test ലെ tarun ഉം ഇതേ സ്വഭാവം ആണ് ഡിപ്രെഷൻ അടിച്ചിരിക്കുമ്പോൾ നന്നായിട്ട് thinnuka",MV LOVER FF,0,False,None
Ugx7E9BySI3l6dBhIEZ4AaABAg,"Bro ഒരു പെണ്ണായാൽ കറക്റ്റ്",TALKS WITH ME,0,False,None
Ugzg3jQUxzCKI7YQVi14AaABAg,"കീബോർഡ് എല്ലാ പിയാനോ എന്നാണ് പറയുക",Rishin fidha,0,False,None
UgzmE7aG0MdwzK4UW594AaABAg,"Piano പഠിക്കുന്നുണ്ടോ",Bts fan girl 💜😚,0,True,None
Ugx8-R-YP87wyJxhZvx4AaABAg,"തോറ്റവൻ തോൽക്കാൻ വേണ്ടി അടിച്ചത് പോലെ",Sulfeekh Sulfi,21,False,None
UgxSu5ODqUCjpggpQwp4AaABAg,"അണ്ണൻ വിട്ടു കൊടുത്തത് ആണ് ",Manjappada Editz,31,True,None
Ugy7rifoddebC9k6OAl4AaABAg,"അത് തെറ്റാണ്",Salma Hussein,4,False,None
UgwymjeqwJJ6hSgwKWx4AaABAg,"സൂപ്പർ ആക്ടിങ്",Majeed Dhaniya,0,False,None
