cid,text,author,votes,heart,paid
UgzPACn84G3b3HW5cXR4AaABAg,"നമ്മുടെ snakehead ഫിഷിങ് വീഡിയോ  ",Fishing Freaks,280,False,None
UgxNoXVmd7iy9qgGScR4AaABAg,"ഈ വീഡിയോ ഇടാൻ പറഞ്ഞെങ്കിലും ഇത്ര പെട്ടെന്ന് വരും എന്ന് വിചാരിച്ചില്ല luv u",Mohd IRSHAD,864,False,None
UgwiFlgQ_CEBEdvWOZV4AaABAg,"മീൻപിടുത്തം കണ്ടപ്പോൾ ഓർമ വന്നത് ചെറുപ്പകാലത്തു പാടത്തു പോയി പിടിക്കുന്നതാണ്ഒത്തിരി സന്തോഷം പെട്ടന്ന് തന്നെ വീഡിയോ ഇട്ടതിൽ",SHAMEER CHEMBAY,137,False,None
UgztrtqQUJlpFuuq8Oh4AaABAg,"ഈ വീഡിയോ ഇത്ര പെട്ടെന്ന് വരും എന്ന് പ്രതീക്ഷിച്ചില്ല ",𝗥𝗢𝗕𝗜𝗡💖𝘼𝙍𝙈𝙔  1🅜︎,102,False,None
UgyT98Ai42-Qdbek-Bp4AaABAg,"ഒന്നും പറയാനില്ല വളർത്തു മൃഗങ്ങളും മീനുകളും Sebichan പണ്ടേ വികാരമാണ് ",Dr. Robin Radhakrishnan,119,False,None
UgyXkFSBgKG6oC7C0PR4AaABAg,"മീൻ  കുട്ടൻമാർ എല്ലാം വളർന്നല്ലോ പൊളി സെബിൻ ചേട്ടാ",꧁ P̳e̳r̳f̳e̳c̳t̳ O̳k̳a̳y̳ ꧂,64,False,None
UgznwP561MKAkw46V1t4AaABAg,"സെബിച്ചായൻ ഒരേ പൊളി..... ",everything YADHU BRO,216,True,None
UgwYcF3Jy_1VlebKA6x4AaABAg,"അങ്ങനെ അതും കണ്ടു ഇനി നമ്മുടെ ഹരിക്കുട്ടൻ എവിടെയാ കണ്ടിട്ട് കുറെ കാലമായി ഹരി കുട്ടൻറെ പട്ടിക്കുട്ടിയും മീനുകളും ഒക്കെ എങ്ങനെ ഇരിക്കുന്നു ഇനി ആ വീഡിയോ വേണ്ടി വെയിറ്റിംഗ് ആണ് ",V TEAM,43,False,None
UgzsvKoPw6ywrKguhQx4AaABAg,"Angel fishnu egg ഇടാൻ കുറച്ച് വലിയ PVC പൈപ്പ് 45° anglelil സൈഡിൽ ചേർത്ത് വെച്ച് കൊടുക്ക് നല്ല രീതിയിൽ breed ആവും ",xavier LITE,19,False,None
UgwfdAA8ubDpyNPo_Mh4AaABAg,"അന്ന് 5K Commends അയാൾ കുളം വറ്റിക്കും എന്ന് പറഞ്ഞില്ലേ ഇപ്പോൾ 8.4K Commends ആയി ഇപ്പൊ വറ്റിക്കുന്നു ",Dr. Robin Radhakrishnan,45,False,None
UgwaYC3DOhrpNomSZDx4AaABAg,"കറക്റ്റ് 5 മണിക്ക് വീഡിയോ uplode ചെയ്യുന്ന സിബിൻ എന്നും വികാരമാണ് ",A5 TECHY,54,False,None
UgwdJ62kjZV3YY5Bcqx4AaABAg,"മീനുകൾ തുടക്കം മുതൽ തന്നെ ഓടിത്തുടങ്ങി. ആവർക്ക് കൃത്യമായി മനസ്സിലാവുന്നുണ്ട് എന്താണ് സംഭവിക്കുന്നത് എന്ന്.",Vinod Krishnan,22,False,None
UgwGmZ1zw9m1hq570Jx4AaABAg,"അപ്പോ ഈ മാസം തന്നെ 3M family!",Arjun P Panicker,17,False,None
UgxbRyddyxSDSaPTyNF4AaABAg,"Sebin ചേട്ടാ ഇത് പൊളിച്ചു... അടിപൊളി ",TECH MEET VLOGGER,18,False,None
Ugz39_OO8SbBKnvF3V14AaABAg,"ചെറുപ്പകാലം ഓർമ വന്നു ",Vlogger Nishanth,1,False,None
Ugy4aRZMt11V6SPgHEd4AaABAg,"താങ്ക്സ് മച്ച ഇത്ര പെട്ടന്ന് വേരുമെന്ന് പ്രതീക്ഷിച്ചില്ല ",KL14 MEDIAS TRAVEL SPORTS TECH,3,False,None
Ugyq-UQ2XCGo7NauZAd4AaABAg,"11:16 ലേ സെബിച്ചൻ : കണ്ണുതുറന്നപ്പോൾ ഏതോ ഒരു അജ്ഞാത ശക്തി വരുന്നത് കണ്ടു പിന്നെ എനിക്കൊന്നും ഓർമ്മയില്ല ",Chandhu Gokul,31,False,None
UgzPACn84G3b3HW5cXR4AaABAg.9cFhfGgiOFH9cFmQjhx_u6,"1.10k ആവാൻ സഹായിക്കുമോ ",VARIETY EDITOR by Shorts and Videos,2,False,None
UgzPACn84G3b3HW5cXR4AaABAg.9cFhfGgiOFH9cFoxLfpZOc,"അടിപൊളി food videos കാണേണ്ടവർ ഇങ്ങോട്ട് വായോ welcome ",shabin tkvlogs,1,False,None
UgzPACn84G3b3HW5cXR4AaABAg.9cFhfGgiOFH9cFulqbYLYn,"പൂച്ചയെ കാണിക്കൂവ",Devika Raj,1,False,None
UgzPACn84G3b3HW5cXR4AaABAg.9cFhfGgiOFH9cFwryaKy_x,"11:17മീൻ മുഖത്തു അടിച്ചു ",FISH LOVER &PETS LOVER,1,False,None
UgxNoXVmd7iy9qgGScR4AaABAg.9cFgfN9c8ry9cFmLn46_pm,"അടിപൊളി",Kannan Bm,1,False,None
