cid,text,author,votes,heart,paid
UgyUGTlUS_tx5TIWtL94AaABAg,"Bro....ഞാനും ചന്തനതൊപ്പിൽ ആണ്പഠിച്ചത് ..... Govt.ITI .... ചന്തനതോപ്പ്..... 2016 ബാച്ച്....ഞാൻ ഒരു 4 ബസ്സ് കയറിയാണ്അവിടെ വന്നു പഠിച്ചതൊക്കെ....ഇളമ്പള്ളൂർ വഴിയും വന്നിട്ടുണ്ട്....",Arun Aylara.... Kollam....,0,False,None
UgwbmIhbkhos1uiTKf54AaABAg,"ജിറാഫ് ",AGNESH MURALI,0,False,None
UgxwFolSgzPY2sAgv5d4AaABAg,"Hi മച്ചാനെ ",Mallu Dinkan,2,True,None
UgxQ708XX1hAYu94BfB4AaABAg,"ചന്ദനത്തോപ്പ് iti ആണോ",M.V ASWIN,0,False,None
UgxwFolSgzPY2sAgv5d4AaABAg.9b-MevGkZ0n9b-N8PKxqDa," @Aromal A  മച്ചാനെ wp number ഒന്ന് തരുമോ ഒരു കാര്യം പറയാൻ ആയിരുന്നു.",Mallu Dinkan,1,False,None
Ugzg3LrQz5nsw_Pakvt4AaABAg,"വൃത്തികേട്",Savithri V,0,True,None
UgxlvVSolf130LlvHqR4AaABAg.9_VypxosKPN9_YOTeTBo1k,"കഴിവ് ഇല്ല എങ്ങനെയോ viral ആയതാണ്",MT MISHAL,2,False,None
UgyG3A0zc53kG13RDuF4AaABAg,"പ്രേക്ഷകരെ കുറച്ചു നാൾ വീഡിയോ ഇടാൻ പറ്റിയില്ല ചില സാങ്കേതിക ബുദ്ധിമുട്ട് മൂലം ഇടാനതാണ് പഴേയ പോലെ ഉള്ള ഒരു പവർ ഇപ്പൊ ഇല്ലെന്ന് അറിയാം എങ്കിലും ഇനി സ്ഥിരം വീഡിയോ ഈടുവെന്ന് ഞാൻ നിങ്ങൾക്ക് ഉറപ്പ് തരുന്നു ",Aromal A,23,True,None
UgyiFpaOVJR4PNMpU9t4AaABAg,"സുപ്പർ സൂപ്പർ",Rakeeb Andaman,2,True,None
Ugx9gSyWG6Qi1G1b9sF4AaABAg,"മച്ചാനെ കാണാറില്ലല്ലോ ️",TiNtU_mOn_K.v,7,True,None
Ugw0rAnsxsxKqe0WWz54AaABAg,"ആരോമലെ എവിടെ ആയിരുന്നു  ചെണ്ടമേളം അടിപൊളി ",B4 AINUUS,17,True,None
Ugw-pFu3OTQc91QF89p4AaABAg,"കുട്ടാ എന്നെ അറിയുമോ",Rakeeb Andaman,3,True,None
UgyEAWgN8lKFSev_ZQt4AaABAg,"നമ്മുടെ കുണ്ടറ ️വിളമ്പരത്തിന്റെ നാട് ",JOBIN P JAICOB,35,True,None
UgydCfjrEduH_2fTRPt4AaABAg,"കുണ്ടറ വിളമ്പരത്തിന്റെ നാട്ടിലെ കാഴ്ചകൾ അടിപൊളി ആയിട്ടുണ്ട് മുത്തേ ",B4 AINUUS,10,True,None
UgxU_DTZWRkbhc7qopV4AaABAg,"കുണ്ടറ കമ്പോളം ",Fun Hub Kerala,6,True,None
UgyUI1o-7vi04iuKeTV4AaABAg,"അണ്ടർ സ്റ്റെന്റ് കുണ്ടറ ബസ്റ്റാറ്റ്‌ ",FUTURE SOLO GAMING,1,False,None
Ugwt7m_1ZBx4H-cWlGZ4AaABAg,"മച്ചാനെ ",focus,9,True,None
UgxvTxjUYN3gdbBs7hR4AaABAg,"കൊല്ലത്തെ ഏറ്റവും ഉയരം കൂടിയ stalam pothumkunnu",Manu Rosemala,0,False,None
UgzOfYcrC7wFyynpxCp4AaABAg.9WjIonWWsAt9WjcwdaNprF,"മോനെ പോയി സാന്ത്വനം കാണു ",Aromal A,3,False,None
UgyfY-Yl2qMzPGcijbJ4AaABAg,"പൊളി ",Ꭻɪʙɪ Ꭻᴏʜɴ,2,True,None
