cid,text,author,votes,heart,paid
Ugx4whYs4UnMfjyWGsd4AaABAg,"മാരുതിയുടെ വാഹനങ്ങൾ എല്ലാം നല്ല വിലയുണ്ട് പിന്നെ ജപ്പാൻ്റെ എഞ്ചിൻ നല്ലതയോണ്ട് വേറെ ഒരു ക്വാലിറ്റിയും വേണ്ട എന്ന് ഇല്ലല്ലൊ Cash നല്ലോണം മേടിക്കുന്നില്ലെ ജനങ്ങൾക്ക് മികച്ച സുഖ സൗകര്യ ങ്ങ ൾ കൊടുക്ക് അതിന് ആദ്യം ജനങ്ങൾ മാറണം അല്ലെ അന്തമായ ചിലതിൻ്റെ ''പുറകെ പോവും മാറ്റങ്ങൾ അനിര്യമാണ് just staring എങ്കിലും ഒന്ന് നല്ലത് വെക്",mahroof ku,14,False,None
UgwMbtmivsWUmWJggYR4AaABAg,"ചുരുക്കിപ്പറഞ്ഞാൽ ഞങ്ങൾക്ക് Pioneer ചെയ്യാൻ വയ്യ. ബാക്കി കമ്പനികൾ എല്ലാം കൂടി ഉത്സാഹിച്ചു ചാർജിങ് നെറ്റ്വർക്ക് ബാറ്ററി ടെക് മാർക്കറ്റ് ഒക്കെ കൊണ്ടുവരട്ടെ എന്നിട്ട് ഞങ്ങൾ വണ്ടി കൊണ്ട് വരാം എന്ന്. വളരെ നല്ല തീരുമാനം മാരുതി സുസുക്കി...",Arunvivek T R,0,False,None
UgxU7rxIRljhm8S3Sft4AaABAg,"Air bag 6 എണ്ണം എത്ര കാറിന്?",SIDDIQUE,3,False,None
UgxyweJD8yVuv15g73F4AaABAg,"1.Test drive വാഹനം എപ്പോഴും full option ആയിരിക്കും.നിങ്ങൾ അതു സൂചിപ്പിച്ചിട്ടില്ല.2.Test drive വാഹനം register ചെയ്താണ് പൊതുവേ ഓടിക്കറുള്ളത്.",John Pa,0,False,None
UgwpK_Ciit0f0Y9p6594AaABAg,"വാഗൺR ന്   7 സ്റ്റാർ കിട്ടും ഉറപ്പാണ്",Babu K J,8,False,None
UgyUZ04a3HIq9jev17V4AaABAg,"ഭാരത് NCAP 6 Airbag നിർബന്ധം ആക്കിയാൽ മാരുതി കുറെ മോഡലുകൾ നിർത്തേണ്ടി വരും",Akash krishna,12,False,None
UgxFrKU1tmjG9ZINjK94AaABAg,"Hello Baiju ചേട്ടാ നമസ്ക്കാരം ഞാൻ. Raashi  മലപ്പുറത്ത് നിന്നാണ് എന്റെ ഒരു ചെറിയ സംശയം ആണ് plzz ഒന്ന് റിപ്ലൈ തരൂ നമ്മൾ വലിയ വിലകൊടുത്തു എടുക്കുന്ന ഫാൻസി നമ്പർ ഉള്ള വാഹനം ടോട്ടൽ ലോസ്  ആയി വണ്ടി ഉപേക്ഷിക്കേണ്ട അവസ്ഥവന്നാൽ പിന്നെ ആ നമ്പർ നമുക്ക് തന്നെ കിട്ടുമോ ...?പൂർണമായും രേഗാ മൂലം നശിച്ചു പോയ ഒരു വണ്ടിയുടെ നമ്പർ പിന്നീട് എന്ത് സംഭവിക്കും ...?",rasheed raashi,3,False,None
UgzdEwu3Z84-EaMSGK54AaABAg,"എന്ത്കൊണ്ടാണ് base മോഡൽ വാഹനങ്ങളിൽ ഓട്ടോ ഗിയർ വാഹനങ്ങൾ പുറത്ത് ഇറക്കാത്ത ത്",Jose Abraham,0,False,None
UgzfaoIjz3UqQlA9mXR4AaABAg,"അവസാനം ഫുൾ സ്റ്റോപ്പ് ഇടുന്നത്  ഹ്യൂണ്ടായിലായിരിക്കും",BENNY JOSEPH,1,False,None
UgyoATHQaubg8LlFq_B4AaABAg,"ചേട്ടന് ടാറ്റാ വാഹനങ്ങളോട് എപ്പോഴും ഒരു പുച്ഛം ആണല്ലോ....",Henry johny,1,False,None
UgwUQA5dJyFdkJINI8Z4AaABAg,"C3 യെ പറ്റി പിന്നെ ഒന്നും പറഞ്ഞു കണ്ടില്ല ",poozhikkal bibin,0,False,None
UgxZRTc90g7JggA6HJV4AaABAg,"ടെസ്റ്റ് ഡ്രൈവ് വാഹനം രജിസ്റ്റർ ചെയ്യണമെന്നല്ലേ നിയമം.",Manjulesh T,3,False,None
Ugx_OmiQYunnxEymqAZ4AaABAg,"താങ്കളുടെ അപ്പുകുട്ടനെ സ്ക്രിനിൽ കാണിച് ഞങ്ങൾ ക്ക് പരിജയ പെട്ത്തി കൂടെ",Latheef Lathi,1,False,None
Ugy1vtdzj2nlblpxRF94AaABAg,"ട്രോളിൽ കണ്ടലോ?",charles raj,0,False,None
UgybT3qdaRkwmh7nAlJ4AaABAg,"ബൈജു നായരേ അർബണ്  കൃൂസർ പുതിയത്  വരുന്നില്ലേ",Love nainas,0,False,None
Ugx73h7OFb6Me7r0lAV4AaABAg,"ഇന്ത്യ ടെസ്റ്റ്‌ വേണ്ട.. എയർ ബാഗ്‌ 50 എണ്ണം ഉണ്ടായിട്ട് ഒരു ഗുണം ഇല്ല വർക്ക്‌ ആകില്ല .. ടെസ്റ്റ്‌ ഉള്ള വണ്ടി ടെ മാത്രം എയർ ബാഗ്‌ മാത്രം ഇന്ത്യ ടെസ്റ്റ്‌ വിജയംഉണ്ടാകു എന്നിട് 5സ്റ്റാർ കൊടുക്കും..",Jishnu Ganesh,2,False,None
Ugzr4rFrwMzEFsWw0814AaABAg,"ഇട്ട ഇട്ടനെ വട്ടാണോ",Jo,0,False,None
